quechua,normalizado,variantes,categoria,traduccion,definicion_completa
t'arta,t'arta,"t'arta, t'artana",s.,Jabón,Jabón.
t'asla,t'asla,t'asla,adj.,Llano y abierto. Aplanado,Llano y abierto. Aplanado.
t'astay,t'astay,t'astay,intr.,Desecarse. Volverse seco el suelo barroso,Desecarse. Volverse seco el suelo barroso.
t'ayqu,t'ayqu,t'ayqu,s.,"Talón. Calcañar, parte posterior de la planta del pie","Talón. Calcañar, parte posterior de la planta del pie."
tayquy,tayquy,"tayquy, t'ustiy",tr.,"Chafar. Aplastar lo que está erguido o levantado. t'ika ch'anta, t'ikachantasqa. s. Ramillete. Ramo pequeño de flores","Chafar. Aplastar lo que está erguido o levantado. t'ika ch'anta, t'ikachantasqa. s. Ramillete. Ramo pequeño de flores."
t'ika,t'ika,"t'ika, ayna",s.,Flor. / Flor roja: Puka t'ika,"Flor. / Flor roja: Puka t'ika. | Flor de frutales y de cereales. Sisa. | Flor silvestre, flor campestre. Wayta. Cual silvestre flor, único y sólito soy: Puna wayta jiña ch'ulla sapachallay (JAL)."
t'ikachay,t'ikachay,"t'ikachay, t'ikanchay",tr.,Adornar con banderines o flores,"Adornar con banderines o flores. | Sañay, k'achanchay, kaskichay, achhalay. Adornar. Engalanar con adornos."
t'ikay,t'ikay,"t'ikay, aynay",intr.,Florecer. Echar la flor,"Florecer. Echar la flor. | Florecer los cereales y frutales. Sisay. | Florecer las plantas silvestres. Waytay. t'ikayuq, aynayuq, aynasapa. adj. Florido, -da. Que tiene flores."
tikchay,tikchay,"tikchay, t'inkay",tr.,Dar papirotazos con los dedos,Dar papirotazos con los dedos.
t'iki,t'iki,t'iki,s.,Maíz machacado,Maíz machacado.
tikmu kay,tikmu kay,tikmu kay,s.,Suavidad,Suavidad. | Blandura. Dulzura en el trato. Llamp'u kay.
t'ikmu,t'ikmu,t'ikmu,adj.,Muelle,"Muelle. | Phupa. Esponjoso y suave. Este pan está bien blando: Kay tantaqa allin phupa. | Blando. Suave, que cede fácilmente al tacto. Llamp'u. | Manso, de carácter apacible. Llamp'u."
t'ikmuyay,t'ikmuyay,"t'ikmuyay, llamp'uyay",intr.,Ablandarse. Ponerse blando,Ablandarse. Ponerse blando.
t'ikrakuy,TIKRAKUY,"t'ikrakuy, TIKRAKUY",prnl.,Voltearse,"Voltearse. | tr. Voltear. Volcar. Tikray, t'ikray. | intr. Caer de espaldas. Tikrakuy, t'ikrakuy."
t'ikray,t'ikray,"t'ikray, tikray",tr.,Traducir. Expresar en una lengua lo que está expresado antes en otra,Traducir. Expresar en una lengua lo que está expresado antes en otra.
t'ikray,t'ikray,"t'ikray, tikray",tr.,"Volcar. Colocar por el revés una cosa. Voltear, volver contrariamente una cosa, poner la parte interna de algo por cara principal","Volcar. Colocar por el revés una cosa. Voltear, volver contrariamente una cosa, poner la parte interna de algo por cara principal. | Embrocar, colocar una vasija boca abajo. P'akchay."
t'iksiy,t'iksiy,"t'iksiy, tiksiy",tr.,Establecer. Fundar,Establecer. Fundar. | Instituir. Sayarichiy.
t'iksu,t'iksu,t'iksu,adj.,"Inclinado, -da. Ladeado, inclinado a una parte. / Árbol inclinado: T'iksu mallki","Inclinado, -da. Ladeado, inclinado a una parte. / Árbol inclinado: T'iksu mallki."
t'iksuchiy,t'iksuchiy,"t'iksuchiy, t'iksuy",tr.,"Inclinar. Ladear, torcer hacia un lado","Inclinar. Ladear, torcer hacia un lado."
t'iksuy,t'iksuy,"t'iksuy, t'iksuchiy",tr.,"Inclinar. Ladear, torcer hacia un lado","Inclinar. Ladear, torcer hacia un lado."
t'iksuy,t'iksuy,t'iksuy,intr.,"Declinar. Ladear, inclinarse","Declinar. Ladear, inclinarse."
t'ikti,t'ikti,"t'ikti, t'iktiy",s.,Latido. Golpe que la contracción y dilatación cardíaca produce en ios tejidos orgánicos y que transmiten las arterias,Latido. Golpe que la contracción y dilatación cardíaca produce en ios tejidos orgánicos y que transmiten las arterias.
t'ikti,t'ikti,t'ikti,adj.,Espantadizo; chucaro y nervioso,Espantadizo; chucaro y nervioso.
t'iktiy,t'iktiy,t'iktiy,intr.,Latir. Dar latidos,Latir. Dar latidos. | Latir el corazón. Phatatay.
t'iktu,t'iktu,t'iktu,s.,Dibujo. Arte de dibujar,Dibujo. Arte de dibujar.
t'iktuy,t'iktuy,t'iktuy,tr.,Dibujar. Delinear figuras,Dibujar. Delinear figuras.
t'ikwa,t'ikwa,t'ikwa,s.,"Torrente, corriente impetuosa de agua","Torrente, corriente impetuosa de agua."
t'ikyay,t'ikyay,t'ikyay,intr.,"Latir, palpitar","Latir, palpitar."
t'ililiqi,t'ililiqi,t'ililiqi,s.,"Xilófono. Instrumento de percusión formado por listones de madera o metal de dimensiones debidamente graduadas para que den sonidos correspondientes a las diversas notas de la escala. t'illa. Sallqa (<A). adj. Cerril. Huraño, no domado","Xilófono. Instrumento de percusión formado por listones de madera o metal de dimensiones debidamente graduadas para que den sonidos correspondientes a las diversas notas de la escala. t'illa. Sallqa (<A). adj. Cerril. Huraño, no domado."
t'illmiy kama,t'illmiy kama,"t'illmiy kama, khituna",s.,Xilografía. Arte de grabar en madera,Xilografía. Arte de grabar en madera.
t'illu,t'illu,t'illu,s.,"Pellizco (JL). t'illuy. T'ipsiy, Hipch'iy, t'ipiy. tr. Pellizcar. Asir con las uñas","Pellizco (JL). t'illuy. T'ipsiy, Hipch'iy, t'ipiy. tr. Pellizcar. Asir con las uñas."
t'impi,t'impi,"t'impi, miklla, illphay",s.,Enfaldo. Sitio o cavidad que hacen las ropas enfaldadas para llevar algunas cosas,Enfaldo. Sitio o cavidad que hacen las ropas enfaldadas para llevar algunas cosas.
t'impuchiy,t'impuchiy,t'impuchiy,tr.,Hacer hervir,Hacer hervir. | Hervir. Estar en ebullición. intr. T'impuy.
t'impuy,t'impuy,"t'impuy, phullpuy, phullulluy, phulluqiy",intr.,"Borbollar. Borbollear, borbollonear","Borbollar. Borbollear, borbollonear."
t'impuy,t'impuy,t'impuy,intr.,Hervir. Estar en ebullición,Hervir. Estar en ebullición. | tr. Hacer hervir. T'impuchiy.
t'ini,t'ini,"t'ini, wiksasapa",adj.,"Barrigodo, -da. Que tiene la barriga grande, panzón","Barrigodo, -da. Que tiene la barriga grande, panzón."
t'inka,t'inka,t'inka,s.,Regalo para pedir un favor,Regalo para pedir un favor.
t'inkay,t'inkay,t'inkay,tr.,Arrojar algún objeto a papirotazos,Arrojar algún objeto a papirotazos.
t'inki,t'inki,t'inki,s.,Unión. Enlace de dos cosas,Unión. Enlace de dos cosas.
t'inkilu,t'inkilu,"t'inkilu, wiqru",adj. y s.,"Zambo, -ba. Dícese de la persona que tiene juntas las rodillas y separadas las piernas hacia afuera","Zambo, -ba. Dícese de la persona que tiene juntas las rodillas y separadas las piernas hacia afuera. | Dícese del hijo de negro e indígena, o viceversa. Sampu."
t'inkina,t'inkina,t'inkina,s.,"Enlace, nexo, vínculo, punto de unión","Enlace, nexo, vínculo, punto de unión."
t'inkinaku,t'inkinaku,"t'inkinaku, yuquy, urwa",s.,Cópula. Coito,Cópula. Coito.
t'inkinakuy,t'inkinakuy,"t'inkinakuy, yuquy, juñunakuy, urway",rec.,Copular. Unirse sexualmente el macho y la hembra de los animales superiores,"Copular. Unirse sexualmente el macho y la hembra de los animales superiores. | Copular los cuadrúpedos. Sarunakuy. | Copular las aves. Chiway. | Coito. s. Cópula. Yuquy, urwa. t'inkinnay, t'aqay, sapanchay. tr. Apartar. Separar."
t'inkisqa,t'inkisqa,t'inkisqa,adj.,Compuesto,Compuesto.
t'inkisqa,t'inkisqa,t'inkisqa,adj.,"Enlazado, -da. Unido","Enlazado, -da. Unido."
t'inkisqa,t'inkisqa,t'inkisqa,adj.,Indivisible moral o materialmente,Indivisible moral o materialmente. | Indivisible. Que no se puede dividir. Rak'innaq.
t'inkiy,t'inkiy,"t'inkiy, k'intiy",tr.,Unir una cosa con otra formando par,"Unir una cosa con otra formando par. | Aparear. Ajustar una cosa con otra, de forma que queden iguales. Igualar. Khuskachay. | Separar por parejas. Yananchay. | Hacer o formar pareja. Pituchay."
t'inkiy,t'inkiy,t'inkiy,tr.,"Enlazar, juntar, dar enlace a unas cosas con otras","Enlazar, juntar, dar enlace a unas cosas con otras. | Unir. Juntar dos o varias cosas. Juñuy. | Ligar. Atar. Watay. t'inri, wat'a, iqiqu (<A). adj. y s. Enano, -na. Dícese de lo que es diminuto en su especie. | Mujer enana. T'ustu."
t'inti,t'inti,"t'inti, t'isku",s.,Saltamontes. Insecto de patas posteriores muy desarrolladas y que da grandes saltos,Saltamontes. Insecto de patas posteriores muy desarrolladas y que da grandes saltos.
t'ipa,t'ipa,t'ipa,s.,Canastillo. Azafate hecho con mimbres (JL),Canastillo. Azafate hecho con mimbres (JL).
t'ipana,t'ipana,t'ipana,s.,Prendedor. Broche o instrumento que sirve para prender,Prendedor. Broche o instrumento que sirve para prender.
t'ipay,t'ipay,"t'ipay, p'itay",tr.,Tejer con crochet o palillos,Tejer con crochet o palillos. | Tejer. Formar la tela con la trama y la urdimbre. Away.
t'ipay,t'ipay,t'ipay,s.,"Prender. Fijar, sujetar con el prendedor","Prender. Fijar, sujetar con el prendedor."
t'ipi,t'ipi,"t'ipi, t'ipsi, llipch'i",s.,Pellizco. Acción de pellizcar,Pellizco. Acción de pellizcar.
t'ipi,t'ipi,t'ipi,s.,Gram. Sílaba,Gram. Sílaba.
t'ipiray,t'ipiray,t'ipiray,tr.,"Descomponer. t'ipiy. T'ipsiy, Hipch'iy. T'illuy. tr. Pellizcar. Asir con las uñas","Descomponer. t'ipiy. T'ipsiy, Hipch'iy. T'illuy. tr. Pellizcar. Asir con las uñas."
t'ipki,t'ipki,t'ipki,s.,Alfiler. Clavillo para sujetar,Alfiler. Clavillo para sujetar.
t'ipkiy,t'ipkiy,t'ipkiy,tr.,Prender con alfiler,Prender con alfiler.
t'ipqay,T'IQPAY,"t'ipqay, T'IQPAY",tr.,"Mondar, quitar la cascara a las frutas","Mondar, quitar la cascara a las frutas."
t'ipsi,t'ipsi,"t'ipsi, llipch'i, t'ipi",s.,"Pellizco. Acción de pellizcar. t'ipsiy, llipch'iy, t'ipiy. T'illuy. tr. Pellizcar. Asir con las uñas","Pellizco. Acción de pellizcar. t'ipsiy, llipch'iy, t'ipiy. T'illuy. tr. Pellizcar. Asir con las uñas."
tipuy,tipuy,"tipuy, phatatay",intr.,Palpitar. Latir el corazón,Palpitar. Latir el corazón.
t'iqara,t'iqara,t'iqara,s. y adj.,Moza regordeta,Moza regordeta.
t'iqi,t'iqi,t'iqi,adj. y s.,"Embutido, -da","Embutido, -da. | p.p. T'iqisqa."
t'iqi y,t'iqi y,"t'iqi y, t'iqinchay, t'akuchay",tr.,"Acolchar. Poner algodón, lana, estopa entre dos telas y después bastearlas","Acolchar. Poner algodón, lana, estopa entre dos telas y después bastearlas."
t'iqiy,t'iqiy,t'iqiy,tr.,"Embutir. Hacer embutidos. Llenar, meter una cosa dentro de otra y apretada","Embutir. Hacer embutidos. Llenar, meter una cosa dentro de otra y apretada."
t'iqiy,t'iqiy,t'iqiy,tr.,"Llenar de carne picada, embutir","Llenar de carne picada, embutir. | Rellenar. Volver a llenar parcial o enteramente, una cosa. Junt'achiy. | Hacer cumplir. Junt'achiy. | Preparar comida de verdura rellena. Pumpiy."
t'iqmu,t'iqmu,t'iqmu,adj.,"Blando, muelle, delicado","Blando, muelle, delicado."
t'iqmu,t'iqmu,t'iqmu,s.,"Holgura, vida satisfecha","Holgura, vida satisfecha. | Holganza. Descanso. Sama."
t'iqmuy,t'iqmuy,t'iqmuy,intr.,"Vivir muellemente, transcurrir en una vida descansada","Vivir muellemente, transcurrir en una vida descansada. | Holgar. Descansar, tomar aliento después de una fatiga. Samay, samariy. | Tranquilizarse, quedar en sosiego. Qasiy."
t'iqpay,t'iqpay,"t'iqpay, t'ipqay",tr.,"Mondar, quitar la cascara a las frutas","Mondar, quitar la cascara a las frutas."
t'iqsi,TIQSI,"t'iqsi, qallar, TIQSI",s.,"Origen. Principio, causa, nacimiento","Origen. Principio, causa, nacimiento."
t'iqsi,TIQSI,"t'iqsi, tiksi, TIQSI",s.,"Fundamento. Cimiento, base","Fundamento. Cimiento, base. | Principio. Primer instante; punto que se considera como primero en una extensión o cosa. Qallariy. | Raíz. Órgano de las plantas que se desarrollan bajo tierra. Saphi. t'iqsiy (JAL), tiksiy. tr. Fundar. | Erigir. Levantar. Juqhariy. t'iqsiy, takyachiy, tiksiy, tiqsiy. tr. Fundar. Crear, establecer. | Erigir, levantar. Sayarichiy. | Edificar materialmente. Juqhariy, sayarichiy."
t'iqu,t'iqu,t'iqu,s.,"Bolsa de cuero, talego","Bolsa de cuero, talego."
t'iqway,t'iqway,t'iqway,tr.,Descascarar legumbres o frutas,"Descascarar legumbres o frutas. | Descortezar. Quitar la corteza. Siqllay, laymay. | Descortezar la caña. Sinkhay."
t'iqway,t'iqway,t'iqway,tr.,Deshollejar. Quitar el hollejo,"Deshollejar. Quitar el hollejo. | Descascarar. Descascar, quitar las cascara de la papa. Ch'illpiray."
t'ira,t'ira,t'ira,s.,Mellizo (JL),Mellizo (JL).
t'iray,t'iray,"t'iray, mischuy, sik'iy",tr.,Mesar. Arrancar el cabello con las manos,Mesar. Arrancar el cabello con las manos.
tiray,tiray,tiray,tr.,"Descuajar, sacar o arrancar del cuajo o raíz","Descuajar, sacar o arrancar del cuajo o raíz. | Extraer. Sacar. Jurqhuy. | Arrancar, extraer. Sik'iy. / Extraer un diente: Kiruta sik'iy. t'iri (<A). Q'illa. s. Cicatriz. Señal que deja una herida."
t'iriy,t'iriy,"t'iriy, qiquy",tr.,Zurcir mal,"Zurcir mal. | Zurcir. Coser la rotura de una tela, juntando los pedazos con puntadas o pasos ordenados, de modo que la unión resulte disimulada. Allwi t'iriy. | Zurcir bordeando. Awakipay."
t'isay,t'isay,t'isay,tr.,"Escarmenar. Carmenar, desenredar y limpiar la lana","Escarmenar. Carmenar, desenredar y limpiar la lana."
t'isi,t'isi,t'isi,s.,Moco que se seca dentro de las fosas nasales,Moco que se seca dentro de las fosas nasales.
t'isku,t'isku,"t'isku, t'inti",s.,"Saltamontes. Insecto de patas posteriores muy desarrolladas y que da grandes saltos. t'isnuy. Sinriy. tr. Ensartar. Pasar por un hilo cuentas, perlas, llaves, etc","Saltamontes. Insecto de patas posteriores muy desarrolladas y que da grandes saltos. t'isnuy. Sinriy. tr. Ensartar. Pasar por un hilo cuentas, perlas, llaves, etc."
t'isti,t'isti,t'isti,adj.,Desordenado (Pot.),Desordenado (Pot.).
t'istichiy,t'istichiy,t'istichiy,tr.,"Achicharrar. Freír, asar un manjar hasta que tome sabor a quemado","Achicharrar. Freír, asar un manjar hasta que tome sabor a quemado."
t'istichiy,t'istichiy,t'istichiy,tr.,hacer desordenar (Pot.),hacer desordenar (Pot.).
t'itu kay,t'itu kay,t'itu kay,s.,Previsión. Acción de prever,Previsión. Acción de prever.
t'itu,t'itu,t'itu,adj.,"Incomprensible, difícil de comprender","Incomprensible, difícil de comprender."
t'itu,t'itu,t'itu,s.,Providencia. Disposición anticipada para un fin,Providencia. Disposición anticipada para un fin.
t'ituchay,t'ituchay,"t'ituchay, t'iwchay",tr.,"Ajustar. Arreglar. Tratándose de cuentas, reconocer y liquidar su importe","Ajustar. Arreglar. Tratándose de cuentas, reconocer y liquidar su importe."
t'ituq,t'ituq,t'ituq,adj. y s.,Providente. Previsor,Providente. Previsor.
t'ituy,t'ituy,t'ituy,tr.,"Prever. Ver de antemano, ver con anticipación","Prever. Ver de antemano, ver con anticipación."
t'iwchay,t'iwchay,"t'iwchay, t'ituchay",tr.,"Ajustar. Arreglar. Tratándose de cuentas, reconocer y liquidar su importe","Ajustar. Arreglar. Tratándose de cuentas, reconocer y liquidar su importe."
t'iwkay,t'iwkay,t'iwkay,intr.,Correr rápidamente como una flecha,Correr rápidamente como una flecha. | Correr. Caminar con velocidad. Phaway. | Correr hacia allá. Phawariy. | Correr hacia abajo. Phawaykuy. | Correr el ganado pasando por encima los cercos del corral. Walay. | Correr mucha agua. Lluqllariy.
t'iwu t'iwu,t'iwu t'iwu,"t'iwu t'iwu, aqu aqu",s.,Arenal. Terreno arenoso,Arenal. Terreno arenoso.
t'iwu,t'iwu,"t'iwu, aqu",s.,Arena. Conjunto de partículas de roca,Arena. Conjunto de partículas de roca.
t'iwuchay,t'iwuchay,t'iwuchay,tr.,"Enarenar. Echar arena o cubrir con ella. t'uki, ch'aqwalli, takurichiq, ch'aqwaq","Enarenar. Echar arena o cubrir con ella. t'uki, ch'aqwalli, takurichiq, ch'aqwaq,"
ruqyaq,ruqyaq,ruqyaq,adj.,Alborotador. Conmovedor,Alborotador. Conmovedor.
t'uki,t'uki,"t'uki, k'uchallu",adj.,"Travieso, -sa. Turbulento, revoltoso. t'uki, witayasqa, thampisqa. adj. Alocado","Travieso, -sa. Turbulento, revoltoso. t'uki, witayasqa, thampisqa. adj. Alocado."
t'ukiy,t'ukiy,t'ukiy,intr. y tr.,Hacer travesuras,Hacer travesuras.
t'ukriy,t'ukriy,t'ukriy,tr. e intr.,"Vigilar. t'uku, llaksaku. Añay. s. Admiración. Cosa admirable","Vigilar. t'uku, llaksaku. Añay. s. Admiración. Cosa admirable."
t'uku,t'uku,t'uku,s.,Abstención. Meditación,Abstención. Meditación.
t'uku,t'uku,t'uku,s.,"Síncope. Paralización súbita del corazón. t'ukuchiq, t'ukuna, llaksana. adj. Admirable. Digno de admiración. t'ukuna, llaksana, t'ukuchiq. adj. Admirable. Digno de admiración","Síncope. Paralización súbita del corazón. t'ukuchiq, t'ukuna, llaksana. adj. Admirable. Digno de admiración. t'ukuna, llaksana, t'ukuchiq. adj. Admirable. Digno de admiración."
t'ukuy,t'ukuy,"t'ukuy, jamut'ay, unanchay",tr.,"Meditar. Pensar, reflexionar, discurrir. t'ukuy. Añay, utirayay. tr. y prnl. Admirar. Ver, contemplar con sorpresa, asombrarse","Meditar. Pensar, reflexionar, discurrir. t'ukuy. Añay, utirayay. tr. y prnl. Admirar. Ver, contemplar con sorpresa, asombrarse."
t'ukuy,t'ukuy,t'ukuy,intr.,Sufrir síncope,Sufrir síncope.
t'ukya,t'ukya,t'ukya,s.,Callo. Dureza producida en la piel,Callo. Dureza producida en la piel.
t'ula,t'ula,t'ula,s.,Tola. Planta combustible de la familia de las compuestas,Tola. Planta combustible de la familia de las compuestas.
t'ullku,t'ullku,t'ullku,adj.,Dícese del hilo muy torcido,Dícese del hilo muy torcido.
t'ullkuy,t'ullkuy,t'ullkuy,tr.,Torcer mucho el hilo,Torcer mucho el hilo. | Hilar muy torcido.
t'una,t'una,t'una,adj.,"Menudo, -da. Pequeño, chico","Menudo, -da. Pequeño, chico. | Muy menudo, tamaño ínfimo. Ch'iñi. t'una. fig. Irqi, wawa. adj. y s. Párvulo. la. Niño pequeño."
t'unakuy,t'unakuy,"t'unakuy, chhallukuy",prnl.,Romperse una cosa,"Romperse una cosa. | fig. Frustrarse. Qulluy, qullupuy."
t'unay,t'unay,"t'unay, chaquy, champiy",tr.,Destrozar. Hacer trozos,"Destrozar. Hacer trozos. | Despilfarrar, echarlo todo a la bancarrota, gastar locamente. Acabar con traición. Q'aruy."
t'unay,t'unay,t'unay,tr.,"Despedazar, desmenuzar","Despedazar, desmenuzar. | Moler. Quebrantar un cuerpo, reduciéndolo a menudísimas partes o a polvo. Kutay. | Moler con el mortero rústico hasta reducir a harina. Qhunay, qhinuy. | Moler cereales u otros con el molejón sobre el batán. Piqay. | Despedazar dando tirones. Withay."
t'upana,t'upana,t'upana,s.,Piedra para afilar,"Piedra para afilar. | Afilador, instrumento para afilar. t'upay, k'awchiy, ñawch'iy, thupray,"
saqay,saqay,saqay,tr.,Afilar. Sacar filo o punta,Afilar. Sacar filo o punta.
t'upsiy,T'UQSIY,"t'upsiy, T'UQSIY",tr.,Indicar con el dedo,Indicar con el dedo.
t'uqi,t'uqi,"t'uqi, jump'i",s.,Sudor,Sudor.
t'uqiy,t'uqiy,t'uqiy,intr. y tr.,Sudar. Arrojar el sudor por los poros de la piel,Sudar. Arrojar el sudor por los poros de la piel (sinón: Jump'iy).
t'uqlu,t'uqlu,"t'uqlu, umatullu",s.,Calavera. Cráneo,Calavera. Cráneo.
t'uqlu,t'uqlu,t'uqlu,adj. y s.,"Calvo, -va. Que ha perdido el pelo de la cabeza","Calvo, -va. Que ha perdido el pelo de la cabeza (sinón: P'aqla)."
t'uqpa,t'uqpa,t'uqpa,s.,Grupo de personas,Grupo de personas. | Tropa. Muchedumbre de gente o animales. Tama. | Pandillero.
t'uqpi,t'uqpi,t'uqpi,adj.,"Loco, tocado, chiflado. t'uqpi. com. Hurguillas, persona inquieta y chiflada","Loco, tocado, chiflado. t'uqpi. com. Hurguillas, persona inquieta y chiflada."
t'uqpina,t'uqpina,t'uqpina,s.,Hurgón. Utensilio para remover el fuego,Hurgón. Utensilio para remover el fuego.
t'uqpiy,t'uqpiy,"t'uqpiy, t'aqwiy, llawq'iy",tr.,"Hurgar. Menear o remover insistentemente una cosa. t'uqra, qhuqa, kutisqa. adj. Descolorido, -da. Descolorado","Hurgar. Menear o remover insistentemente una cosa. t'uqra, qhuqa, kutisqa. adj. Descolorido, -da. Descolorado."
t'uqrayay,t'uqrayay,"t'uqrayay, qhuqayay",prnl.,Descolorirse. Descolorarse. t'uqsiy [t'uksiy]. tr. Aguijonear. Aguijar,Descolorirse. Descolorarse. t'uqsiy [t'uksiy]. tr. Aguijonear. Aguijar.
t'uqsiy,t'uqsiy,"t'uqsiy, t'upsiy",tr.,Indicar con el dedo,Indicar con el dedo.
t'uqsiy,t'uqsiy,"t'uqsiy, t'urpuy",tr.,Pinchar. Picar con algo punzante,Pinchar. Picar con algo punzante.
t'uqsiy,t'uqsiy,t'uqsiy,tr.,Apuñalar. Dar de puñaladas,Apuñalar. Dar de puñaladas.
t'uqtuchiy,t'uqtuchiy,t'uqtuchiy,tr.,Requemar. Tostar con exceso,"Requemar. Tostar con exceso. | Requemar, volver candente. K'anachiy."
t'uqu,t'uqu,"t'uqu, jutk'u",adj. y s.,"Hueco, -ca. Cóncavo","Hueco, -ca. Cóncavo."
t'uqu,t'uqu,"t'uqu, mach'ay",s.,Hornacina. Hueco a modo de nicho en la pared,Hornacina. Hueco a modo de nicho en la pared.
t'uquy,t'uquy,"t'uquy, jutk'uy",tr.,"Perforar. Horadar, agujerear","Perforar. Horadar, agujerear."
t'uquyay,t'uquyay,t'uquyay,intr.,"Escariarse. Agrandarse o redondearse un agujero. t'uqya llup'a rimaq. Fon. Oclusivo, glotalizado","Escariarse. Agrandarse o redondearse un agujero. t'uqya llup'a rimaq. Fon. Oclusivo, glotalizado."
t'uqya,t'uqya,"t'uqya, t'uqyay",s.,Explosión. Acto de estallar,Explosión. Acto de estallar.
t'uqyachiy,t'uqyachiy,"t'uqyachiy, rimariy",tr.,Pronunciar. Articular sonidos para hablar,Pronunciar. Articular sonidos para hablar.
t'uqyay,t'uqyay,t'uqyay,intr.,"Reventar detonando, estallar","Reventar detonando, estallar. | Reventar. Abrirse una cosa por una fuerza interior. Phatay. | Abrirse la flor. Phanchay."
t'uqyay,t'uqyay,t'uqyay,s.,"Explosión, estallido","Explosión, estallido."
t'urpu,t'urpu,t'urpu,adj.,"Agudo, aguzado, puntiagudo, punzante","Agudo, aguzado, puntiagudo, punzante."
t'urpuy,t'urpuy,"t'urpuy, t'uqsiy",tr.,Pinchar. Picar con algo punzante,Pinchar. Picar con algo punzante. | Punzar. Herir de punta.
t'uru t'uru,t'uru t'uru,t'uru t'uru,s.,Lodazal. Sitio lleno de lodo,Lodazal. Sitio lleno de lodo.
t'uru,t'uru,t'uru,s.,Barro. Masa de tierra y agua,Barro. Masa de tierra y agua. | Barro de la cara. Muchi. t'uruchakuy. r. y prnl. Embarrarse. Mancharse o ensuciarse con barro.
t'uruchay,t'uruchay,"t'uruchay, t'urunchay",tr.,Enlodar. Manchar con lodo,Enlodar. Manchar con lodo. | Hacer barro.
t'uruchay,t'uruchay,t'uruchay,tr.,Manchar o ensuciar con barro,"Manchar o ensuciar con barro. | Embarrar. Cubrir con barro una superficie, revocar. Llut'ay."
t'uskuy,t'uskuy,t'uskuy,intr.,Echarse los animales sobre el vientre,Echarse los animales sobre el vientre.
t'ustiy,t'ustiy,"t'ustiy, t'ustuy",tr. e intr.,"Pisotear, patullar","Pisotear, patullar. | tr. Hollar. Pisar con los pies. Yupiy."
t'ustiy,t'ustiy,"t'ustiy, tharmiy",tr.,Atrepellar. Pisotear,Atrepellar. Pisotear.
t'ustiy,t'ustiy,"t'ustiy, t'ayquy",tr.,Chafar. Aplastar lo que está erguido o levantado,Chafar. Aplastar lo que está erguido o levantado.
t'ustu,t'ustu,t'ustu,adj.,s. Mujer enana,"s. Mujer enana. | Enano, -na. Dícese de lo que es diminuto en su especie. T'inri, wat'a, iqiqu (<A)."
t'ustuy,t'ustuy,"t'ustuy, t'ustiy",intr.,Patullar. Pisar con fuerza y desatentadamente. t'ustuy. Chhalluy. tr. Trillar. Quebrantar la mies para separar el grano de la paja,Patullar. Pisar con fuerza y desatentadamente. t'ustuy. Chhalluy. tr. Trillar. Quebrantar la mies para separar el grano de la paja.
t'ustuy,t'ustuy,t'ustuy,tr.,"Degradar. Envilecer, empequeñecer a otro","Degradar. Envilecer, empequeñecer a otro."
t'usu,t'usu,"t'usu, ch'upa",s.,Pantorilla. Parte carnosa de la pierna,Pantorilla. Parte carnosa de la pierna.
t'utura,t'utura,t'utura,s.,"Totora. (<Q). Especie de anea o espadaña empleada por los campesinos para construir balsas, barcas y como techumbre de sus viviendas","Totora. (<Q). Especie de anea o espadaña empleada por los campesinos para construir balsas, barcas y como techumbre de sus viviendas."
t'uyu,t'uyu,"t'uyu, t'uyuna",s.,"Remo. Instrumento a modo de pala larga, para impulsar la embarcación","Remo. Instrumento a modo de pala larga, para impulsar la embarcación."
t'uyuna,t'uyuna,"t'uyuna, t'uyu",s.,"Remo. Instrumento a modo de pala larga, para impulsar la embarcación","Remo. Instrumento a modo de pala larga, para impulsar la embarcación."
t'uyur,t'uyur,t'uyur,s.,"Tempestad, borrasca","Tempestad, borrasca."
t'uyurka,t'uyurka,t'uyurka,s.,Mástil de un buque,Mástil de un buque.
t'uyuy,t'uyuy,t'uyuy,intr.,Remar. Trabajar con el remo para impeler la embarcación en el agua,Remar. Trabajar con el remo para impeler la embarcación en el agua.
uchu,uchu,uchu,s.,Ají. Pimiento picante,Ají. Pimiento picante.
uchu muruq'u,uchu muruq'u,uchu muruq'u,s.,Piedra esférica con que se muele por fricción el ají,Piedra esférica con que se muele por fricción el ají.
uchha,uchha,"uchha, chusu",s.,Estiércol de animales caballares,"Estiércol de animales caballares. | Estiércol barroso de los corrales. Khara. | Boñiga, estiércol de ganado vacuno. Q'awa."
uch'a,UCHHA,"uch'a, UCHHA",s.,Estiércol del ganado,Estiércol del ganado.
uch'anchay,uch'anchay,uch'anchay,tr.,Abonar la tierra con estiércol (JL). uju. Ch'uju. s. Tos. Convulsión ruidosa del aparato respiratorio,Abonar la tierra con estiércol (JL). uju. Ch'uju. s. Tos. Convulsión ruidosa del aparato respiratorio.
ujujuy!,ujujuy!,ujujuy!,interj.,Con que se expresa desapego e ironía. ujuy. Ch'ujuy (<A). intr. Toser. Padecer la tos,Con que se expresa desapego e ironía. ujuy. Ch'ujuy (<A). intr. Toser. Padecer la tos.
uksachiq,uksachiq,uksachiq,adj.,"Hábil. Diestro, el que consigue con facilidad lo que se propone","Hábil. Diestro, el que consigue con facilidad lo que se propone."
uksapu,uksapu,uksapu,s. y adj.,El o la que alcanza a realizar sus propósitos,El o la que alcanza a realizar sus propósitos.
